


     2-D ITERATION BEHAVIOR
   73 0.1439E+00 0.3419E-01
   74 0.1626E+00 0.3898E-01
   75 0.1689E+00 0.4088E-01
   76 0.1606E+00 0.3924E-01
   77 0.1397E+00 0.3447E-01
   78 0.1117E+00 0.2784E-01
   79 0.1214E+00 0.3044E-01
   80 0.1454E+00 0.3676E-01
   81 0.1605E+00 0.4096E-01
   82 0.1628E+00 0.4191E-01
   83 0.1510E+00 0.3923E-01
   84 0.1282E+00 0.3364E-01
   85 0.1002E+00 0.2654E-01
   86 0.1247E+00 0.3320E-01
   87 0.1460E+00 0.3920E-01
   88 0.1575E+00 0.4267E-01
   89 0.1558E+00 0.4258E-01
   90 0.1410E+00 0.3887E-01
   91 0.1169E+00 0.3254E-01
   92 0.1026E+00 0.2872E-01
   93 0.1273E+00 0.3593E-01
   94 0.1457E+00 0.4148E-01
   95 0.1535E+00 0.4407E-01
   96 0.1481E+00 0.4289E-01
   97 0.1307E+00 0.3818E-01
   98 0.1059E+00 0.3122E-01
   99 0.1065E+00 0.3156E-01
  100 0.1292E+00 0.3859E-01
  101 0.1445E+00 0.4353E-01
  102 0.1486E+00 0.4513E-01
  103 0.1398E+00 0.4282E-01
  104 0.1204E+00 0.3719E-01
  105 0.9532E-01 0.2971E-01
  106 0.1099E+00 0.3441E-01
  107 0.1303E+00 0.4112E-01
  108 0.1424E+00 0.4531E-01
  109 0.1429E+00 0.4583E-01
  110 0.1310E+00 0.4239E-01
  111 0.1101E+00 0.3593E-01
  112 0.8958E-01 0.2940E-01
  113 0.1126E+00 0.3723E-01
  114 0.1306E+00 0.4349E-01
  115 0.1394E+00 0.4679E-01
  116 0.1363E+00 0.4614E-01
  117 0.1220E+00 0.4161E-01
  118 0.1001E+00 0.3443E-01
  119 0.9345E-01 0.3233E-01
  120 0.1148E+00 0.3999E-01
  121 0.1300E+00 0.4565E-01
  122 0.1355E+00 0.4793E-01
  123 0.1292E+00 0.4607E-01
  124 0.1127E+00 0.4051E-01
  125 0.9033E-01 0.3274E-01
  126 0.9685E-01 0.3527E-01
  127 0.1162E+00 0.4264E-01
  128 0.1287E+00 0.4755E-01
  129 0.1308E+00 0.4869E-01
  130 0.1215E+00 0.4561E-01
  131 0.1034E+00 0.3912E-01
  132 0.8099E-01 0.3088E-01
  133 0.9975E-01 0.3821E-01
  134 0.1170E+00 0.4514E-01
  135 0.1265E+00 0.4914E-01
  136 0.1253E+00 0.4905E-01
  137 0.1135E+00 0.4478E-01
  138 0.9427E-01 0.3748E-01
  139 0.8216E-01 0.3284E-01
  140 0.1021E+00 0.4109E-01
  141 0.1170E+00 0.4743E-01
  142 0.1234E+00 0.5038E-01
  143 0.1192E+00 0.4901E-01
  144 0.1052E+00 0.4361E-01
  145 0.8532E-01 0.3563E-01
  146 0.8558E-01 0.3591E-01
  147 0.1039E+00 0.4388E-01
  148 0.1163E+00 0.4947E-01
  149 0.1196E+00 0.5125E-01
  150 0.1125E+00 0.4857E-01
  151 0.9688E-01 0.4213E-01
  152 0.7669E-01 0.3361E-01
  153 0.8856E-01 0.3898E-01
  154 0.1050E+00 0.4653E-01
  155 0.1148E+00 0.5120E-01
  156 0.1150E+00 0.5170E-01
  157 0.1054E+00 0.4773E-01
  158 0.8854E-01 0.4038E-01
  159 0.7248E-01 0.3323E-01
  160 0.9107E-01 0.4202E-01
  161 0.1055E+00 0.4899E-01
  162 0.1125E+00 0.5259E-01
  163 0.1098E+00 0.5173E-01
  164 0.9807E-01 0.4652E-01
  165 0.8034E-01 0.3839E-01
  166 0.7588E-01 0.3644E-01
  167 0.9306E-01 0.4497E-01
  168 0.1052E+00 0.5119E-01
  169 0.1094E+00 0.5358E-01
  170 0.1041E+00 0.5132E-01
  171 0.9053E-01 0.4497E-01
  172 0.7237E-01 0.3621E-01
  173 0.7891E-01 0.3967E-01
  174 0.9448E-01 0.4780E-01
  175 0.1043E+00 0.5310E-01
  176 0.1056E+00 0.5415E-01
  177 0.9782E-01 0.5050E-01
  178 0.8295E-01 0.4313E-01
  179 0.6471E-01 0.3389E-01
  180 0.8153E-01 0.4288E-01
  181 0.9530E-01 0.5044E-01
  182 0.1026E+00 0.5465E-01
  183 0.1012E+00 0.5427E-01
  184 0.9124E-01 0.4927E-01
  185 0.7542E-01 0.4102E-01
  186 0.6762E-01 0.3696E-01
  187 0.8368E-01 0.4602E-01
  188 0.9548E-01 0.5284E-01
  189 0.1002E+00 0.5580E-01
  190 0.9618E-01 0.5393E-01
  191 0.8443E-01 0.4768E-01
  192 0.6806E-01 0.3870E-01
  193 0.7067E-01 0.4037E-01
  194 0.8533E-01 0.4905E-01
  195 0.9498E-01 0.5494E-01
  196 0.9705E-01 0.5650E-01
  197 0.9067E-01 0.5314E-01
  198 0.7752E-01 0.4575E-01
  199 0.6094E-01 0.3621E-01
  200 0.7336E-01 0.4378E-01
  201 0.8643E-01 0.5190E-01
  202 0.9378E-01 0.5667E-01
  203 0.9327E-01 0.5673E-01
  204 0.8477E-01 0.5191E-01
  205 0.7060E-01 0.4353E-01
  206 0.6063E-01 0.3758E-01
  207 0.7563E-01 0.4715E-01
  208 0.8693E-01 0.5452E-01
  209 0.9189E-01 0.5799E-01
  210 0.8889E-01 0.5647E-01
  211 0.7860E-01 0.5026E-01
  212 0.6377E-01 0.4106E-01
  213 0.6369E-01 0.4121E-01
  214 0.7745E-01 0.5041E-01
  215 0.8679E-01 0.5683E-01
  216 0.8929E-01 0.5884E-01
  217 0.8398E-01 0.5570E-01
  218 0.7226E-01 0.4825E-01
  219 0.5713E-01 0.3841E-01
  220 0.6643E-01 0.4486E-01
  221 0.7876E-01 0.5350E-01
  222 0.8598E-01 0.5876E-01
  223 0.8603E-01 0.5917E-01
  224 0.7865E-01 0.5445E-01
  225 0.6586E-01 0.4590E-01
  226 0.5482E-01 0.3842E-01
  227 0.6879E-01 0.4848E-01
  228 0.7950E-01 0.5635E-01
  229 0.8449E-01 0.6025E-01
  230 0.8216E-01 0.5897E-01
  231 0.7300E-01 0.5274E-01
  232 0.5950E-01 0.4327E-01
  233 0.5788E-01 0.4232E-01
  234 0.7073E-01 0.5201E-01
  235 0.7963E-01 0.5889E-01
  236 0.8230E-01 0.6124E-01
  237 0.7773E-01 0.5821E-01
  238 0.6714E-01 0.5061E-01
  239 0.5326E-01 0.4042E-01
  240 0.6065E-01 0.4626E-01
  241 0.7219E-01 0.5537E-01
  242 0.7911E-01 0.6103E-01
  243 0.7943E-01 0.6166E-01
  244 0.7285E-01 0.5691E-01
  245 0.6116E-01 0.4809E-01
  246 0.5015E-01 0.3967E-01
  247 0.6308E-01 0.5018E-01
  248 0.7311E-01 0.5848E-01
  249 0.7790E-01 0.6268E-01
  250 0.7593E-01 0.6147E-01
  251 0.6760E-01 0.5508E-01
  252 0.5517E-01 0.4526E-01
  253 0.5321E-01 0.4390E-01
  254 0.6511E-01 0.5401E-01
  255 0.7342E-01 0.6125E-01
  256 0.7598E-01 0.6376E-01
  257 0.7184E-01 0.6067E-01
  258 0.6208E-01 0.5277E-01
  259 0.4927E-01 0.4215E-01
  260 0.5601E-01 0.4819E-01
  261 0.6666E-01 0.5767E-01
  262 0.7307E-01 0.6357E-01
  263 0.7337E-01 0.6421E-01
  264 0.6726E-01 0.5923E-01
  265 0.5642E-01 0.5001E-01
  266 0.4659E-01 0.4155E-01
  267 0.5849E-01 0.5247E-01
  268 0.6768E-01 0.6105E-01
  269 0.7202E-01 0.6534E-01
  270 0.7008E-01 0.6397E-01
  271 0.6227E-01 0.5719E-01
  272 0.5070E-01 0.4688E-01
  273 0.4968E-01 0.4620E-01
  274 0.6057E-01 0.5666E-01
  275 0.6808E-01 0.6404E-01
  276 0.7024E-01 0.6646E-01
  277 0.6618E-01 0.6300E-01
  278 0.5697E-01 0.5458E-01
  279 0.4503E-01 0.4342E-01
  280 0.5251E-01 0.5092E-01
  281 0.6216E-01 0.6064E-01
  282 0.6778E-01 0.6650E-01
  283 0.6771E-01 0.6682E-01
  284 0.6173E-01 0.6129E-01
  285 0.5149E-01 0.5145E-01
  286 0.4408E-01 0.4431E-01
  287 0.5500E-01 0.5562E-01
  288 0.6319E-01 0.6428E-01
  289 0.6674E-01 0.6829E-01
  290 0.6446E-01 0.6635E-01
  291 0.5684E-01 0.5886E-01
  292 0.4592E-01 0.4787E-01
  293 0.4718E-01 0.4945E-01
  294 0.5707E-01 0.6019E-01
  295 0.6354E-01 0.6742E-01
  296 0.6489E-01 0.6927E-01
  297 0.6053E-01 0.6500E-01
  298 0.5160E-01 0.5575E-01
  299 0.4037E-01 0.4391E-01
  300 0.4999E-01 0.5465E-01
  301 0.5859E-01 0.6445E-01
  302 0.6312E-01 0.6987E-01
  303 0.6222E-01 0.6929E-01
  304 0.5600E-01 0.6275E-01
  305 0.4613E-01 0.5201E-01
  306 0.4246E-01 0.4811E-01
  307 0.5240E-01 0.5976E-01
  308 0.5944E-01 0.6822E-01
  309 0.6182E-01 0.7140E-01
  310 0.5872E-01 0.6825E-01
  311 0.5095E-01 0.5958E-01
  312 0.4053E-01 0.4770E-01
  313 0.4547E-01 0.5375E-01
  314 0.5427E-01 0.6457E-01
  315 0.5945E-01 0.7120E-01
  316 0.5956E-01 0.7180E-01
  317 0.5442E-01 0.6603E-01
  318 0.4547E-01 0.5552E-01
  319 0.3825E-01 0.4688E-01
  320 0.4806E-01 0.5929E-01
  321 0.5538E-01 0.6877E-01
  322 0.5844E-01 0.7305E-01
  323 0.5623E-01 0.7076E-01
  324 0.4934E-01 0.6250E-01
  325 0.3963E-01 0.5054E-01
  326 0.4138E-01 0.5293E-01
  327 0.4999E-01 0.6438E-01
  328 0.5542E-01 0.7185E-01
  329 0.5610E-01 0.7322E-01
  330 0.5168E-01 0.6792E-01
  331 0.4343E-01 0.5746E-01
  332 0.3509E-01 0.4660E-01
  333 0.4411E-01 0.5895E-01
  334 0.5092E-01 0.6847E-01
  335 0.5389E-01 0.7295E-01
  336 0.5196E-01 0.7083E-01
  337 0.4557E-01 0.6255E-01
  338 0.3649E-01 0.5044E-01
  339 0.3810E-01 0.5286E-01
  340 0.4572E-01 0.6384E-01
  341 0.5014E-01 0.7047E-01
  342 0.5004E-01 0.7080E-01
  343 0.4531E-01 0.6456E-01
  344 0.3731E-01 0.5353E-01
  345 0.3054E-01 0.4402E-01
  346 0.3758E-01 0.5451E-01
  347 0.4216E-01 0.6155E-01
  348 0.4291E-01 0.6306E-01
  349 0.3939E-01 0.5828E-01
  350 0.3260E-01 0.4857E-01
  351 0.2443E-01 0.3666E-01
  352 0.2626E-01 0.3956E-01
  353 0.2899E-01 0.4396E-01
  354 0.2847E-01 0.4345E-01
  355 0.2473E-01 0.3802E-01
  356 0.1903E-01 0.2946E-01
  357 0.1306E-01 0.2036E-01
  358 0.1040E-01 0.1271E-01
  359 0.8772E-02 0.9804E-02
  360 0.6663E-02 0.7426E-02
  361 0.5831E-02 0.4872E-02
  362 0.6572E-02 0.4623E-02
  363 0.6520E-02 0.4041E-02
  364 0.5671E-02 0.3147E-02
  365 0.4332E-02 0.3149E-02
  366 0.2934E-02 0.2800E-02
  367 0.1789E-02 0.2448E-02
  368 0.1480E-02 0.2389E-02
  369 0.1295E-02 0.2105E-02
  370 0.1257E-02 0.2030E-02
  371 0.1180E-02 0.1918E-02
  372 0.1079E-02 0.1744E-02
  373 0.1065E-02 0.1733E-02
  374 0.9678E-03 0.1585E-02
  375 0.9621E-03 0.1566E-02
  376 0.9134E-03 0.1497E-02
  377 0.8720E-03 0.1420E-02
  378 0.8570E-03 0.1405E-02
  379 0.7932E-03 0.1296E-02
  380 0.8017E-03 0.1315E-02
  381 0.7589E-03 0.1253E-02
  382 0.7489E-03 0.1228E-02
  383 0.7286E-03 0.1203E-02
  384 0.6989E-03 0.1146E-02
  385 0.6961E-03 0.1149E-02
  386 0.6692E-03 0.1099E-02
  387 0.6626E-03 0.1094E-02
  388 0.6420E-03 0.1060E-02
  389 0.6290E-03 0.1039E-02
  390 0.6176E-03 0.1027E-02
  391 0.6017E-03 0.9960E-03
  392 0.5958E-03 0.9911E-03
  393 0.5826E-03 0.9643E-03
  394 0.5728E-03 0.9528E-03
  395 0.5613E-03 0.9294E-03
  396 0.5491E-03 0.9134E-03
  397 0.5407E-03 0.9060E-03
  398 0.5320E-03 0.8877E-03
  399 0.5251E-03 0.8797E-03
  400 0.5169E-03 0.8626E-03
  401 0.5082E-03 0.8515E-03
  402 0.5004E-03 0.8351E-03
  403 0.4906E-03 0.8219E-03
  404 0.4830E-03 0.8152E-03
  405 0.4773E-03 0.8030E-03
  406 0.4714E-03 0.7955E-03
  407 0.4656E-03 0.7833E-03
  408 0.4586E-03 0.7740E-03
  409 0.4527E-03 0.7617E-03
  410 0.4452E-03 0.7512E-03
  411 0.4391E-03 0.7435E-03
  412 0.4332E-03 0.7347E-03
  413 0.4285E-03 0.7285E-03
  414 0.4241E-03 0.7193E-03
  415 0.4188E-03 0.7119E-03
  416 0.4141E-03 0.7024E-03
  417 0.4083E-03 0.6941E-03
  418 0.4035E-03 0.6847E-03
  419 0.3973E-03 0.6782E-03
  420 0.3931E-03 0.6732E-03
  421 0.3897E-03 0.6662E-03
  422 0.3856E-03 0.6604E-03
  423 0.3819E-03 0.6529E-03
  424 0.3774E-03 0.6464E-03
  425 0.3735E-03 0.6386E-03
  426 0.3687E-03 0.6315E-03
  427 0.3646E-03 0.6263E-03
  428 0.3603E-03 0.6209E-03
  429 0.3572E-03 0.6164E-03
  430 0.3543E-03 0.6106E-03
  431 0.3508E-03 0.6054E-03
  432 0.3477E-03 0.6031E-03
  433 0.3440E-03 0.6017E-03
  434 0.3407E-03 0.6004E-03
  435 0.3367E-03 0.5989E-03
  436 0.3332E-03 0.5975E-03
  437 0.3302E-03 0.5959E-03
  438 0.3275E-03 0.5943E-03
  439 0.3250E-03 0.5927E-03
  440 0.3221E-03 0.5910E-03
  441 0.3195E-03 0.5893E-03
  442 0.3164E-03 0.5875E-03
  443 0.3135E-03 0.5863E-03
  444 0.3103E-03 0.5852E-03
  445 0.3073E-03 0.5840E-03
  446 0.3047E-03 0.5828E-03
  447 0.3025E-03 0.5815E-03
  448 0.3004E-03 0.5802E-03
  449 0.2980E-03 0.5788E-03
  450 0.2957E-03 0.5774E-03
  451 0.2931E-03 0.5759E-03
  452 0.2907E-03 0.5744E-03
  453 0.2880E-03 0.5728E-03
  454 0.2854E-03 0.5712E-03
  455 0.2829E-03 0.5695E-03
  456 0.2811E-03 0.5681E-03
  457 0.2793E-03 0.5670E-03
  458 0.2773E-03 0.5659E-03
  459 0.2753E-03 0.5648E-03
  460 0.2732E-03 0.5636E-03
  461 0.2711E-03 0.5624E-03
  462 0.2689E-03 0.5611E-03
  463 0.2667E-03 0.5598E-03
  464 0.2643E-03 0.5584E-03
  465 0.2625E-03 0.5570E-03
  466 0.2610E-03 0.5556E-03
  467 0.2593E-03 0.5541E-03
  468 0.2577E-03 0.5525E-03
  469 0.2559E-03 0.5510E-03
  470 0.2541E-03 0.5498E-03
  471 0.2522E-03 0.5488E-03
  472 0.2504E-03 0.5478E-03
  473 0.2484E-03 0.5467E-03
  474 0.2465E-03 0.5455E-03
  475 0.2449E-03 0.5444E-03
  476 0.2435E-03 0.5431E-03
  477 0.2421E-03 0.5419E-03
  478 0.2406E-03 0.5406E-03
  479 0.2391E-03 0.5392E-03
  480 0.2375E-03 0.5379E-03
  481 0.2359E-03 0.5364E-03
  482 0.2343E-03 0.5350E-03
  483 0.2326E-03 0.5335E-03
  484 0.2309E-03 0.5325E-03
  485 0.2294E-03 0.5315E-03
  486 0.2282E-03 0.5305E-03
  487 0.2270E-03 0.5295E-03
  488 0.2257E-03 0.5284E-03
  489 0.2244E-03 0.5273E-03
  490 0.2231E-03 0.5262E-03
  491 0.2217E-03 0.5250E-03
  492 0.2203E-03 0.5237E-03
  493 0.2188E-03 0.5225E-03
  494 0.2173E-03 0.5212E-03
  495 0.2158E-03 0.5198E-03
  496 0.2147E-03 0.5185E-03
  497 0.2136E-03 0.5171E-03
  498 0.2125E-03 0.5161E-03
  499 0.2114E-03 0.5152E-03
  500 0.2102E-03 0.5142E-03
  501 0.2090E-03 0.5133E-03
  502 0.2078E-03 0.5122E-03
  503 0.2066E-03 0.5112E-03
  504 0.2053E-03 0.5101E-03
  505 0.2040E-03 0.5090E-03
  506 0.2026E-03 0.5078E-03
  507 0.2017E-03 0.5066E-03
  508 0.2008E-03 0.5054E-03
  509 0.1998E-03 0.5042E-03
  510 0.1988E-03 0.5029E-03
  511 0.1977E-03 0.5015E-03
  512 0.1967E-03 0.5005E-03
  513 0.1956E-03 0.4997E-03
  514 0.1945E-03 0.4988E-03
  515 0.1934E-03 0.4979E-03
  516 0.1922E-03 0.4969E-03
  517 0.1910E-03 0.4959E-03
  518 0.1902E-03 0.4949E-03
  519 0.1893E-03 0.4938E-03
  520 0.1885E-03 0.4928E-03
  521 0.1876E-03 0.4916E-03
  522 0.1867E-03 0.4905E-03
  523 0.1857E-03 0.4893E-03
  524 0.1848E-03 0.4881E-03
  525 0.1838E-03 0.4869E-03
  526 0.1828E-03 0.4857E-03
  527 0.1818E-03 0.4849E-03
  528 0.1808E-03 0.4841E-03
  529 0.1798E-03 0.4832E-03
  530 0.1791E-03 0.4823E-03
  531 0.1783E-03 0.4814E-03
  532 0.1775E-03 0.4805E-03
  533 0.1767E-03 0.4795E-03
  534 0.1759E-03 0.4785E-03
  535 0.1751E-03 0.4774E-03
  536 0.1742E-03 0.4764E-03
  537 0.1733E-03 0.4753E-03
  538 0.1725E-03 0.4741E-03
  539 0.1715E-03 0.4730E-03
  540 0.1706E-03 0.4718E-03
  541 0.1698E-03 0.4709E-03
  542 0.1692E-03 0.4701E-03
  543 0.1685E-03 0.4693E-03
  544 0.1678E-03 0.4685E-03
  545 0.1671E-03 0.4676E-03
  546 0.1663E-03 0.4667E-03
  547 0.1656E-03 0.4658E-03
  548 0.1648E-03 0.4649E-03
  549 0.1640E-03 0.4639E-03
  550 0.1632E-03 0.4629E-03
  551 0.1624E-03 0.4619E-03
  552 0.1616E-03 0.4609E-03
  553 0.1609E-03 0.4598E-03
  554 0.1603E-03 0.4587E-03
  555 0.1597E-03 0.4576E-03
  556 0.1590E-03 0.4568E-03
  557 0.1584E-03 0.4560E-03
  558 0.1577E-03 0.4553E-03
  559 0.1570E-03 0.4545E-03
  560 0.1563E-03 0.4537E-03
  561 0.1556E-03 0.4528E-03
  562 0.1549E-03 0.4520E-03
  563 0.1542E-03 0.4511E-03
  564 0.1535E-03 0.4502E-03
  565 0.1528E-03 0.4492E-03
  566 0.1522E-03 0.4482E-03
  567 0.1517E-03 0.4473E-03
  568 0.1511E-03 0.4462E-03
  569 0.1505E-03 0.4452E-03
  570 0.1499E-03 0.4441E-03
  571 0.1493E-03 0.4434E-03
  572 0.1487E-03 0.4427E-03
  573 0.1481E-03 0.4420E-03
  574 0.1474E-03 0.4412E-03
  575 0.1468E-03 0.4404E-03
  576 0.1461E-03 0.4396E-03
  577 0.1455E-03 0.4388E-03
  578 0.1449E-03 0.4380E-03
  579 0.1444E-03 0.4371E-03
  580 0.1439E-03 0.4362E-03
  581 0.1434E-03 0.4353E-03
  582 0.1429E-03 0.4343E-03
  583 0.1423E-03 0.4334E-03
  584 0.1418E-03 0.4324E-03
  585 0.1412E-03 0.4314E-03
  586 0.1406E-03 0.4306E-03
  587 0.1401E-03 0.4300E-03
  588 0.1395E-03 0.4293E-03
  589 0.1389E-03 0.4286E-03
  590 0.1383E-03 0.4278E-03
  591 0.1378E-03 0.4271E-03
  592 0.1373E-03 0.4263E-03
  593 0.1369E-03 0.4255E-03
  594 0.1364E-03 0.4247E-03
  595 0.1359E-03 0.4238E-03
  596 0.1354E-03 0.4230E-03
  597 0.1349E-03 0.4221E-03
  598 0.1344E-03 0.4212E-03
  599 0.1339E-03 0.4203E-03
  600 0.1334E-03 0.4193E-03
  601 0.1328E-03 0.4185E-03
  602 0.1323E-03 0.4179E-03
  603 0.1317E-03 0.4172E-03
  604 0.1313E-03 0.4165E-03
  605 0.1309E-03 0.4159E-03
  606 0.1304E-03 0.4151E-03
  607 0.1300E-03 0.4144E-03
  608 0.1296E-03 0.4137E-03
  609 0.1291E-03 0.4129E-03
  610 0.1287E-03 0.4121E-03
  611 0.1282E-03 0.4113E-03
  612 0.1278E-03 0.4105E-03
  613 0.1273E-03 0.4096E-03
  614 0.1268E-03 0.4088E-03
  615 0.1263E-03 0.4079E-03
  616 0.1258E-03 0.4070E-03
  617 0.1253E-03 0.4063E-03
  618 0.1249E-03 0.4057E-03
  619 0.1246E-03 0.4051E-03
  620 0.1242E-03 0.4044E-03
  621 0.1238E-03 0.4038E-03
  622 0.1234E-03 0.4031E-03
  623 0.1230E-03 0.4024E-03
  624 0.1226E-03 0.4017E-03
  625 0.1221E-03 0.4009E-03
  626 0.1217E-03 0.4002E-03
  627 0.1213E-03 0.3994E-03
  628 0.1208E-03 0.3986E-03
  629 0.1204E-03 0.3978E-03
  630 0.1199E-03 0.3970E-03
  631 0.1195E-03 0.3961E-03
  632 0.1192E-03 0.3953E-03
  633 0.1188E-03 0.3947E-03
  634 0.1185E-03 0.3941E-03
  635 0.1181E-03 0.3935E-03
  636 0.1177E-03 0.3929E-03
  637 0.1174E-03 0.3923E-03
  638 0.1170E-03 0.3916E-03
  639 0.1166E-03 0.3909E-03
  640 0.1162E-03 0.3903E-03
  641 0.1158E-03 0.3896E-03
  642 0.1154E-03 0.3888E-03
  643 0.1150E-03 0.3881E-03
  644 0.1146E-03 0.3873E-03
  645 0.1142E-03 0.3866E-03
  646 0.1139E-03 0.3858E-03
  647 0.1136E-03 0.3850E-03
  648 0.1132E-03 0.3842E-03
  649 0.1129E-03 0.3837E-03
  650 0.1126E-03 0.3831E-03
  651 0.1122E-03 0.3825E-03
  652 0.1119E-03 0.3819E-03
  653 0.1115E-03 0.3813E-03
  654 0.1112E-03 0.3807E-03
  655 0.1108E-03 0.3801E-03
  656 0.1104E-03 0.3794E-03
  657 0.1101E-03 0.3787E-03
  658 0.1097E-03 0.3781E-03
  659 0.1093E-03 0.3774E-03
  660 0.1090E-03 0.3766E-03
  661 0.1087E-03 0.3759E-03
  662 0.1084E-03 0.3752E-03
  663 0.1081E-03 0.3744E-03
  664 0.1078E-03 0.3736E-03
  665 0.1075E-03 0.3731E-03
  666 0.1072E-03 0.3726E-03
  667 0.1069E-03 0.3720E-03
  668 0.1065E-03 0.3715E-03
  669 0.1062E-03 0.3709E-03
  670 0.1059E-03 0.3703E-03
  671 0.1055E-03 0.3697E-03
  672 0.1052E-03 0.3691E-03
  673 0.1048E-03 0.3684E-03
  674 0.1045E-03 0.3678E-03
  675 0.1042E-03 0.3671E-03
  676 0.1040E-03 0.3665E-03
  677 0.1037E-03 0.3658E-03
  678 0.1034E-03 0.3651E-03
  679 0.1031E-03 0.3643E-03
  680 0.1028E-03 0.3636E-03
  681 0.1025E-03 0.3630E-03
  682 0.1022E-03 0.3625E-03
  683 0.1019E-03 0.3620E-03
  684 0.1016E-03 0.3615E-03
  685 0.1013E-03 0.3609E-03
  686 0.1010E-03 0.3604E-03
  687 0.1007E-03 0.3598E-03
  688 0.1004E-03 0.3592E-03
  689 0.1001E-03 0.3586E-03
  690 0.9984E-04 0.3580E-03
  691 0.9959E-04 0.3574E-03
  692 0.9934E-04 0.3568E-03
  693 0.9908E-04 0.3561E-03
  694 0.9882E-04 0.3554E-03
  695 0.9855E-04 0.3548E-03
  696 0.9828E-04 0.3541E-03
  697 0.9801E-04 0.3534E-03
  698 0.9773E-04 0.3529E-03
  699 0.9745E-04 0.3525E-03
  700 0.9716E-04 0.3520E-03
  701 0.9687E-04 0.3514E-03
  702 0.9658E-04 0.3509E-03
  703 0.9629E-04 0.3504E-03
  704 0.9601E-04 0.3498E-03
  705 0.9578E-04 0.3493E-03
  706 0.9555E-04 0.3487E-03
  707 0.9532E-04 0.3481E-03
  708 0.9508E-04 0.3475E-03
  709 0.9484E-04 0.3469E-03
  710 0.9459E-04 0.3463E-03
  711 0.9434E-04 0.3456E-03
  712 0.9409E-04 0.3450E-03
  713 0.9383E-04 0.3443E-03
  714 0.9357E-04 0.3438E-03
  715 0.9331E-04 0.3433E-03
  716 0.9305E-04 0.3428E-03
  717 0.9278E-04 0.3424E-03
  718 0.9251E-04 0.3419E-03
  719 0.9223E-04 0.3414E-03
  720 0.9201E-04 0.3408E-03
  721 0.9180E-04 0.3403E-03
  722 0.9158E-04 0.3398E-03
  723 0.9136E-04 0.3392E-03
  724 0.9114E-04 0.3387E-03
  725 0.9092E-04 0.3381E-03
  726 0.9069E-04 0.3375E-03
  727 0.9046E-04 0.3369E-03
  728 0.9022E-04 0.3363E-03
  729 0.8998E-04 0.3357E-03
  730 0.8974E-04 0.3350E-03
  731 0.8950E-04 0.3345E-03
  732 0.8925E-04 0.3341E-03
  733 0.8900E-04 0.3337E-03
